Date,Page,Query,Clicks,Impressions,CTR,Position,7D Change,28D Change,Query Type,Action,Status,Last SEO Edit Date,Next Review Date
2026-09-13,/power-strips-wall-outlets.html,[page aggregate],0,28,0%,27.3,"Impressions +5; position +13.5","63 impressions; position 37.3",Ranking Opportunity,"Continue PUSH via internal links and authority after freeze",PUSH,2026-09-08,2026-09-16
2026-09-13,/20w-vs-45w-vs-70w-travel-adapter.html,[page aggregate],0,19,0%,8.8,"Impressions +5; position +0.7","33 impressions; position 9.1",CTR Opportunity,"SERP diagnosis only; do not edit while frozen",HOLD/FROZEN,2026-09-08,2026-09-16
2026-09-13,/about-us.html,[page aggregate],0,8,0%,5.0,Stable,"25 impressions; position 10.6",Entity/Trust,"Observe brand and manufacturer queries",OBSERVE,2026-09-08,2026-09-16
2026-09-13,/nt009-all.html,[page aggregate],0,6,0%,5.8,"Impressions -5; position -0.1","17 impressions; position 5.8",Model/Ranking,"Preserve Top 10; no rewrite",HOLD,2026-09-08,2026-09-16
2026-09-13,/nt011-us.html,[page aggregate],0,1,0%,8.0,"Impressions -11; position +7.8","13 impressions; position 15.2",Model/Ranking,"Observe; no rewrite",HOLD/OBSERVE,2026-09-08,2026-09-16
2026-09-13,Sitewide (landing page not isolated),power strip market,0,11,0%,35.8,"Impressions +4; position +8.3","22 impressions; position 40.9",Market,"Record and support PUSH cluster",WATCH,N/A,2026-09-20
2026-09-13,Sitewide (landing page not isolated),uk power strip market,0,5,0%,41.0,"Impressions -3; position +0.8","18 impressions; position 41.8",Market,"Record; no page edit",SIGNAL,N/A,2026-09-20
2026-09-13,Sitewide (landing page not isolated),tower power strip,0,4,0%,22.8,"New in current window","4 impressions; position 22.8",Product Category,"Record; no page edit",BELOW SIGNAL,N/A,2026-09-20
2026-09-13,Sitewide (landing page not isolated),45w vs 70w travel adapter,0,2,0%,4.0,"Impressions +1; position +2.0","3 impressions; position 4.7",Informational,"Monitor guide query; no edit",BELOW SIGNAL,N/A,2026-09-20
2026-09-13,Sitewide (landing page not isolated),nt009,0,2,0%,7.5,"Stable impressions; position -4.5","4 impressions; position 5.3",Model,Monitor,BELOW SIGNAL,N/A,2026-09-20
2026-09-13,Sitewide (landing page not isolated),nt011,0,1,0%,3.0,"Stable impressions; position +4.0","2 impressions; position 5.0",Model,Monitor,BELOW SIGNAL,N/A,2026-09-20
2026-09-13,Sitewide (landing page not isolated),odm ac dc adapter manufacturer,0,2,0%,60.5,New,Not isolated,Strategic B2B,"Record; require persistence or 15 impressions before expansion",EARLY SIGNAL,N/A,2026-09-20
2026-09-13,Sitewide (landing page not isolated),power adapter odm supplier,0,2,0%,70.0,New,Not isolated,Strategic B2B,"Record; no page edit",EARLY SIGNAL,N/A,2026-09-20
2026-09-13,Sitewide (landing page not isolated),global plug power adapter manufacturer,0,2,0%,77.0,"Impressions +1","3 impressions; position 76.3",Strategic B2B,"Record; no page edit",EARLY SIGNAL,N/A,2026-09-20
2026-09-13,Sitewide (landing page not isolated),travel adapter supplier,0,1,0%,73.0,New,Not isolated,Strategic B2B,"Record; no page edit",EARLY SIGNAL,N/A,2026-09-20
2026-09-13,Sitewide (landing page not isolated),european standard power strip factory,0,1,0%,33.0,New,Not isolated,Strategic B2B,"Record for power-strip cluster",EARLY SIGNAL,N/A,2026-09-20
