Priority,Opportunity Type,Query,Landing Page,Product,SKU,Clicks,Impressions,CTR,Average Position,Intent,Commercial Value,Problem,Recommended Action,Priority Score
P1,Conversion,"45w vs 70w travel adapter",https://www.longrichpower.com/20w-vs-45w-vs-70w-travel-adapter.html,"45W and 70W travel adapters","NT010; NT011",0,2,0%,5.0,Comparison,High,"Top-5 query but no disclosed click; guide has 18 page impressions","Preserve title/H1; verify contextual NT010/NT011 choice and prefilled RFQ link",86
P1,Model ranking,nt009,https://www.longrichpower.com/nt009-all.html,"20W universal travel adapter",NT009-ALL,0,3,0%,5.0,Transactional,High,"Tiny sample; NT009-UK also appeared once","Freeze title/URL/spec; monitor query-page split until 30-50 impressions",83
P1,Brand CTR,"longrich link",https://www.longrichpower.com/,"OEM power products",,0,11,0%,7.9,Navigational,Medium,"Entity/name ambiguity and no click at a still-small sample","Build consistent verifiable external entity citations; do not edit homepage title yet",82
P1,Model ranking,nt011,https://www.longrichpower.com/nt011-all.html,"70W GaN universal travel adapter",NT011-ALL,0,2,0%,5.0,Transactional,High,"Tiny sample; NT011-US also appeared once","Freeze titles; monitor generic-versus-regional landing-page split",81
P1,Existing page growth,"travel adapter manufacturer",https://www.longrichpower.com/travel-adapter-manufacturer.html,"Travel adapter portfolio","NT009; NT010; NT011",0,5,0%,20.0,Commercial,High,"Page is on edge of Top 20; query terms mostly withheld; no confirmed backlinks","Audit internal evidence links and pursue 3-5 relevant earned citations",79
P1,Cluster alignment,"power strip market",https://www.longrichpower.com/power-strips-wall-outlets.html,"Power strips and wall outlets",ECS-BS019,0,13,0%,44.5,"Market Research",High,"Market-research intent lands on category page at low rank","Clarify hub/category roles and strengthen evidence/SKU internal links; no title change",78
P1,Cluster alignment,"uk power strip market",https://www.longrichpower.com/power-strips-wall-outlets.html,"UK power strip",ECS-BS019,0,15,0%,41.8,"Market Research",High,"Strongest visible nonbrand query but low ranking/content-format match","Create sourced intent brief; publish at most one evidence-led asset after overlap review",76
P1,Measurement,"organic RFQ funnel",https://www.longrichpower.com/request-a-quote.html,"All product programs",,0,3,0%,5.0,Transactional,High,"CTA event architecture exists but no outcome baseline was available","Register GA4 dimensions; mark generate_lead key event; build organic funnel",76
P2,Engineering-to-product,"wall socket stability",https://www.longrichpower.com/why-travel-adapters-fall-out-of-wall-sockets.html,"Flat and grounded travel adapters",,1,10,10%,6.1,"Safety / Engineering",Medium,"Traffic page may not provide the clearest next product step","Verify one contextual product bridge plus stability/grounding evidence and RFQ",73
P2,Entity trust,longrich,https://www.longrichpower.com/about-us.html,"Company and manufacturing",,0,22,0%,11.4,Navigational,Medium,"Only one query impression is disclosed; generative-AI visibility exists","Preserve title; improve external corroboration and monitor query disclosure",69
P2,Category growth,"universal travel adapter",https://www.longrichpower.com/universal-travel-adapters.html,"20W-70W universal adapters","NT009-ALL; NT010; NT011-ALL",0,8,0%,23.8,Commercial,High,"Page has signal but no visible matching query","Strengthen internal links from products/manufacturer hubs; observe",64
P2,OEM growth,"travel adapter OEM",https://www.longrichpower.com/oem-odm-travel-adapter.html,"OEM/ODM travel adapters",NT011-ALL,0,13,0%,56.5,Commercial,High,"Commercial page has impressions but weak ranking and withheld queries","Link manufacturing/testing proof and representative SKUs into RFQ path",63
P2,Product ranking,"70W travel adapter",https://www.longrichpower.com/nt011-us.html,"70W GaN travel adapter",NT011-US,0,12,0%,15.8,Transactional,High,"Zero clicks at small page sample after recent optimization","Observe 7-14 days; no further title/H1 change",61
P2,Content gap,"power strip manufacturer",https://www.longrichpower.com/power-strips/,"Power strips","ECS-US019; ECS-BS019",0,0,, ,Commercial,High,"No exact visible query but adjacent market demand exists","Develop manufacturer evaluation outline; strengthen existing hub before new URL",58
P2,Engineering proof,"grounded travel adapter",https://www.longrichpower.com/grounded-travel-adapter.html,"Grounded travel adapters",NT011-ALL,0,0,, ,"Safety / Engineering",High,"No visible query; evidence is not yet mapped clearly to product platforms","Map grounding continuity and plug-stability proof to verified models",56
P3,Commercial watch,"travel adapter supplier",https://www.longrichpower.com/travel-adapter-manufacturer.html,"Travel adapters","NT009; NT010; NT011",0,1,0%,73.0,Commercial,High,"Strategic term but negligible demand signal","Observe; strengthen existing page only if impressions repeat",49
P3,Comparison intent,"difference between travel adapter and power adapter",https://www.longrichpower.com/travel-adapter-vs-voltage-converter.html,"Travel adapters and converters",,0,2,0%,59.5,Informational,Medium,"Existing page addresses voltage converter rather than power-adapter wording","Validate intent and add a concise clarification to an existing page; no new URL yet",47
P3,OEM watch,"voltage converter odm",https://www.longrichpower.com/oem-odm.html,"Voltage converters",TUS-11,0,1,0%,34.0,Commercial,High,"Strategic term with one impression","Add to watchlist; consider converter-specific OEM FAQ only after repeated signal",46
P3,Backlinks,"earned manufacturer citations",https://www.longrichpower.com/travel-adapter-manufacturer.html,"Travel adapter manufacturing",,0,0,, ,Commercial,High,"GSC Links still processing and no independent referring domain confirmed","Pursue relevant partner/customer/supplier/industry citations; do not buy links",45
